Name,2021,2021,2022,2022,2023,2023,Average finish
Corey LaJoie,37,30,15,24,20,19,24.17
Chase Briscoe,21,14,35,4,28,33,22.50
Michael McDowell,17,21,27,19,25,17,21.00
Bubba Wallace,28,16,25,36,4,13,20.33
Erik Jones,10,26,31,8,19,28,20.33
Rickey Stenhouse Jr,11,17,21,23,24,25,20.17
Daniel Suarez,26,15,37,16,10,15,19.83
Todd Gilliand,0,,23,25,31,27,17.67
Chris Buescher,14,25,18,15,21,11,17.33
Ryan Blaney,5,5,36,28,13,6,15.50
Ryan Preece,15,28,0,0,23,26,15.33
Austin Dillon,12,13,10,10,27,18,15.00
Harrison Burton,0,0,16,26,26,20,14.67
Alex Bowman,27,22,1,0,3,35,14.67
Justin Haley,29,32,17,0,8,,14.33
Joey Logano,9,11,14,1,36,12,13.83
Christopher Bell,7,24,9,34,5,2,13.50
Austin Cindric,0,0,19,29,6,23,12.83
Chase Elliot,13,2,8,21,0,32,12.67
Brad Keselowski,2,7,24,17,17,4,11.83
Ross Chastain,23,23,3,2,12,5,11.33
Tyler Reddick,22,6,6,6,15,8,10.50
Denny Hamlin,4,1,32,5,11,10,10.50
Ty Gibbs,0,0,0,0,22,34,9.33
William Byron,8,18,5,13,1,7,8.67
Kyle Larson,1,10,2,35,2,1,8.50
A.J. Allmendinger,0,0,0,9,18,21,8.00
Martin Truex Jr,,4,7,7,7,9,5.67
Noah Gragson,0,0,0,0,30,,5.00
Kyle Busch,3,3,4,3,14,3,5.00